year,stockID,per
2015,1582,10.17
2016,1582,9.6425
2017,1582,11.965
2018,1582,11.0275
2019,1582,12.0775
2020,1582,10.215
2021,1582,21.2975
2022,1582,25.2175
2023,1582,15.325
2024,1582,15.82
2014,1583,11.43
2015,1583,11.22
2016,1583,17.5025
2017,1583,21.8225
2018,1583,13.0475
2019,1583,16.7575
2020,1583,16.2425
2021,1583,17.5075
2022,1583,11.635
2023,1583,10.385
2024,1583,12.14666667
2018,1587,32.11333333
2019,1587,121.805
2020,1587,12.435
2021,1587,15.15
2022,1587,12.9875
2023,1587,23.4425
2024,1587,84.34666667
2014,1589,14.24
2015,1589,17.0175
2016,1589,17.5575
2017,1589,20.005
2018,1589,94.04
2019,1589,70.78
2020,1589,19.9575
2021,1589,24.625
2022,1589,133.3
2014,1590,25.58
2015,1590,22.015
2016,1590,25.1575
2017,1590,26.01
2018,1590,23.4325
2019,1590,27.045
2020,1590,28.9
2021,1590,32.6375
2022,1590,28.5275
2023,1590,31.9
2024,1590,27.34333333
2014,1597,117.1
2015,1597,37.8775
2016,1597,23.49
2017,1597,20.665
2018,1597,23.865
2019,1597,26.965
2020,1597,33.4275
2021,1597,32.35
2022,1597,19.285
2023,1597,36.4925
2024,1597,94.17333333
2016,1598,12.45
2017,1598,28.775
2018,1598,44.365
2019,1598,23.975
2020,1598,9.56
2021,1598,13.0225
2022,1598,47.87333333
2024,1598,185.3
2014,1603,14.26
2015,1603,7.89
2016,1603,8.23
2017,1603,14.9475
2020,1603,15.4225
2021,1603,14.705
2022,1603,13.9
2023,1603,12.86
2024,1603,13.79666667
2014,1604,10.12
2015,1604,11.87
2016,1604,11.2075
2017,1604,16.185
